ZIP_CODE,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 21 years and over,Employment Status - Females 16 years and over,Employment Status - Population 16 years and over,Sex and Age - Total population - 16 years and over,Health Insurance Coverage - Civilian noninstitutionalized population,Sex and Age - Total population - Female
18626,242,521.0,254.0,521.0,254,521,521.0,434,258.0
18627,0,0.0,0.0,0.0,0,0,0.0,0,0.0
18628,108,162.0,87.0,162.0,87,169,169.0,211,113.0
18629,967,1484.0,730.0,1427.0,747,1517,1517.0,1811,865.0
18630,1657,2255.0,1077.0,2180.0,1104,2314,2314.0,2894,1428.0
18631,584,827.0,367.0,813.0,378,838,838.0,904,408.0
18632,408,482.0,231.0,455.0,243,517,517.0,578,286.0
18634,7735,10507.0,5319.0,9832.0,5410,10714,10714.0,12997,6651.0
18635,2090,2930.0,1441.0,2813.0,1462,2994,2994.0,3622,1744.0
18636,832,1214.0,687.0,1131.0,700,1258,1258.0,1524,824.0
18640,9402,12634.0,6935.0,12059.0,7040,12993,12993.0,15917,8706.0
18641,4187,5658.0,2981.0,5505.0,3046,5826,5826.0,6924,3639.0
18642,2169,3189.0,1642.0,3084.0,1693,3251,3251.0,3814,1908.0
18643,7513,10475.0,5357.0,10257.0,5534,10781,10781.0,12617,6304.0
18644,4391,6197.0,3159.0,6049.0,3234,6365,6365.0,7703,3958.0
18651,5266,6959.0,3566.0,6733.0,3689,7149,7149.0,8816,4403.0
18655,3061,4466.0,2248.0,4324.0,2297,4582,4582.0,5395,2706.0
18656,1234,1733.0,907.0,1661.0,940,1786,1786.0,2170,1160.0
18657,6394,8896.0,4411.0,8513.0,4539,9251,9251.0,11017,5453.0
18660,2036,2716.0,1373.0,2674.0,1417,2838,2838.0,3342,1613.0
18661,2681,4031.0,1964.0,3880.0,1998,4182,4182.0,4879,2477.0
18701,2220,3510.0,1738.0,2183.0,1744,3521,3521.0,3436,1799.0
18702,24929,33213.0,16827.0,31495.0,17527,34598,34598.0,41399,21597.0
18704,18397,24669.0,12890.0,23790.0,13097,25163,25163.0,30422,15430.0
18705,9156,12265.0,6226.0,11903.0,6438,12557,12557.0,15313,7687.0
18706,9312,12623.0,6296.0,12253.0,6503,13073,13073.0,16014,7951.0
18707,9715,12642.0,6608.0,11952.0,6970,13209,13209.0,16038,8506.0
18708,5007,6976.0,3496.0,6838.0,3543,7124,7124.0,8472,4288.0
18709,1693,2365.0,1286.0,2208.0,1326,2465,2465.0,2825,1476.0
18801,4549,6533.0,3275.0,6384.0,3339,6699,6699.0,7859,3977.0
18810,3246,4689.0,2157.0,4557.0,2278,4910,4910.0,5742,2744.0
18812,966,1365.0,663.0,1337.0,673,1381,1381.0,1564,788.0
18814,104,137.0,77.0,130.0,77,137,137.0,193,94.0
18816,36,49.0,30.0,49.0,30,49,49.0,61,42.0
18817,75,93.0,45.0,93.0,45,93,93.0,131,58.0
18818,775,1036.0,492.0,989.0,507,1062,1062.0,1209,579.0
18820,62,69.0,38.0,66.0,38,69,69.0,81,42.0
18821,624,897.0,455.0,846.0,482,955,955.0,1157,584.0
18822,1810,2476.0,1198.0,2396.0,1246,2565,2565.0,3163,1603.0
18823,77,157.0,105.0,157.0,105,157,157.0,169,109.0
18824,647,1005.0,507.0,973.0,516,1019,1019.0,1227,646.0
18825,87,142.0,49.0,141.0,59,152,152.0,172,62.0
18826,780,1254.0,625.0,1188.0,643,1276,1276.0,1451,734.0
18828,163,198.0,74.0,194.0,74,201,201.0,238,93.0
18829,429,562.0,293.0,547.0,308,591,591.0,704,353.0
18830,272,429.0,178.0,421.0,191,451,451.0,532,232.0
18831,553,844.0,440.0,824.0,443,889,889.0,1017,497.0
18832,950,1301.0,665.0,1255.0,693,1369,1369.0,1720,898.0
18833,1191,1730.0,897.0,1658.0,927,1777,1777.0,2024,1040.0
18834,1842,2604.0,1360.0,2523.0,1401,2695,2695.0,3261,1650.0
18837,1579,2063.0,1054.0,1969.0,1092,2135,2135.0,2677,1408.0
18840,6199,8195.0,4216.0,7752.0,4430,8612,8612.0,11009,5717.0
18842,89,115.0,50.0,115.0,62,130,130.0,162,79.0
18843,123,184.0,76.0,154.0,76,184,184.0,229,83.0
18844,933,1421.0,689.0,1343.0,705,1462,1462.0,1720,836.0
18845,260,415.0,214.0,413.0,216,419,419.0,498,266.0
18846,320,524.0,239.0,515.0,242,536,536.0,671,308.0
18847,2783,3906.0,1934.0,3771.0,2020,4040,4040.0,5220,2536.0
18848,4805,6925.0,3489.0,6728.0,3590,7149,7149.0,8797,4330.0
18850,1173,1606.0,831.0,1536.0,859,1718,1718.0,1999,969.0
18851,317,485.0,248.0,472.0,253,500,500.0,610,286.0
18853,2254,3190.0,1568.0,3065.0,1643,3286,3286.0,4083,2063.0
18854,954,1256.0,626.0,1217.0,634,1287,1287.0,1584,799.0
18901,14717,22404.0,11164.0,20818.0,11610,23411,23411.0,26444,14065.0
18902,12988,16831.0,8304.0,16079.0,8704,17665,17665.0,22262,10982.0
18912,82,160.0,107.0,160.0,107,160,160.0,188,107.0
18913,133,161.0,85.0,152.0,85,169,169.0,243,110.0
18914,13351,16645.0,8781.0,15790.0,9115,17456,17456.0,21278,10844.0
18915,758,927.0,497.0,896.0,515,980,980.0,1268,656.0
18917,1419,1730.0,850.0,1682.0,890,1770,1770.0,2216,1166.0
18920,179,246.0,84.0,246.0,84,246,246.0,320,98.0
18921,144,172.0,63.0,172.0,63,180,180.0,210,75.0
18923,834,1012.0,487.0,999.0,535,1094,1094.0,1430,788.0
18925,3674,4663.0,2292.0,4402.0,2492,4954,4954.0,6567,3385.0
18927,246,276.0,244.0,276.0,244,276,276.0,299,267.0
18929,6082,7311.0,3756.0,7131.0,4001,7644,7644.0,9718,5186.0
18930,1364,1995.0,1038.0,1921.0,1080,2046,2046.0,2343,1220.0
18932,81,213.0,106.0,213.0,106,213,213.0,260,144.0
18933,27,88.0,56.0,88.0,56,88,88.0,88,56.0
18935,302,317.0,171.0,317.0,171,317,317.0,317,171.0
18936,138,151.0,74.0,151.0,85,201,201.0,287,85.0
18938,7524,12050.0,5976.0,11770.0,6120,12456,12456.0,14115,6839.0
18940,17461,23106.0,11841.0,22599.0,12335,24018,24018.0,29515,14871.0
18942,1327,2318.0,1056.0,2272.0,1056,2357,2357.0,2554,1143.0
18944,17246,21691.0,10763.0,20625.0,11111,22406,22406.0,27072,13113.0
18946,300,460.0,288.0,429.0,288,470,470.0,409,312.0
18947,3925,5298.0,2513.0,5070.0,2619,5507,5507.0,6190,3030.0
18950,20,60.0,30.0,60.0,30,60,60.0,60,30.0
18951,20942,27992.0,14443.0,26966.0,15236,29204,29204.0,36247,18723.0
18954,5536,8062.0,3986.0,7627.0,4218,8424,8424.0,9995,4975.0
18955,871,1217.0,635.0,1164.0,635,1236,1236.0,1345,738.0
18960,6980,9615.0,4763.0,9363.0,4858,9962,9962.0,11822,5699.0
18962,183,243.0,141.0,243.0,141,243,243.0,329,149.0
18964,8023,10678.0,5686.0,10251.0,5848,11128,11128.0,13924,7087.0
